Country Name,country,Continent,Country Code,"Labor force, total [SL.TLF.TOTL.IN]",labour_force,"Population ages 15-64, total [SP.POP.1564.TO]"
Afghanistan,Afghanistan,Asia,AFG,8920521,38.56616019,23130436
Albania,Albania,Europe,ALB,1387831,75.57646323,1836327
Algeria,Algeria,Africa,DZA,13425064,46.76770999,28705840
Angola,Angola,Africa,AGO,15222540,78.93980273,19283732
Argentina,Argentina,South America,ARG,21906419,72.00910704,30421734
Armenia,Armenia,Asia,ARM,1355546,74.03495664,1830954
Australia,Australia,Oceania,AUS,14501414,84.02725254,17257989
Austria,Austria,Europe,AUT,4825387,80.76376477,5974693
Azerbaijan,Azerbaijan,Asia,AZE,5473196,77.91610844,7024473
"Bahamas, The",Bahamas,North America,BHS,242250,81.28539983,298024
Bahrain,Bahrain,Asia,BHR,855301,75.66926034,1130315
Bangladesh,Bangladesh,Asia,BGD,74913612,63.5052727,117964397
Barbados,Barbados,North America,BRB,145851,77.70307347,187703
Belarus,Belarus,Europe,BLR,4956149,82.17736612,6031039
Belgium,Belgium,Europe,BEL,5432007,72.27936791,7515294
Belize,Belize,North America,BLZ,190064,68.54513259,277283
Benin,Benin,Africa,BEN,4964239,66.22779745,7495703
Bhutan,Bhutan,Asia,BTN,429536,75.67142855,567633
Bolivia,Bolivia,South America,BOL,6114198,76.35742661,8007339
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,BIH,1368568,63.99124694,2138680
Botswana,Botswana,Africa,BWA,1170359,68.33466944,1712687
Brazil,Brazil,South America,BRA,108695239,71.969607,151029363
Brunei Darussalam,Brunei,Asia,BRN,227798,70.22024938,324405
Bulgaria,Bulgaria,Europe,BGR,3102757,75.71751811,4097806
Burkina Faso,Burkina Faso,Africa,BFA,8577269,68.13353181,12588910
Burundi,Burundi,Africa,BDI,5722443,82.55923332,6931318
Cabo Verde,Cabo Verde,Africa,CPV,257317,62.71939981,410267
Cambodia,Cambodia,Asia,KHM,9174840,82.88560774,11069280
Cameroon,Cameroon,Africa,CMR,11965019,75.39672857,15869414
Canada,Canada,North America,CAN,22110473,84.76900366,26083205
Central African Republic,Central African Republic,Africa,CAF,2114113,74.16704234,2850475
Chad,Chad,Africa,TCD,5806355,62.72699469,9256549
Channel Islands,Channel Islands,Europe,CHI,86239,71.98400708,119803
Chile,Chile,South America,CHL,9847754,73.39675365,13417152
China,China,Asia,CHN,779245529,80.11816848,972620248
Colombia,Colombia,South America,COL,26003385,71.82387884,36204373
Comoros,Comoros,Africa,COM,234437,47.48389266,493719
"Congo, Dem. Rep.",Democratic Republic of the Congo,Africa,COD,35983053,69.53257974,51749918
"Congo, Rep.",Republic of the Congo,Africa,COG,2461099,71.18837868,3457164
Costa Rica,Costa Rica,North America,CRI,2407610,66.93500609,3596937
Cote d'Ivoire,Ivory Coast,Africa,CIV,10954094,67.18027593,16305521
Croatia,Croatia,Europe,HRV,1744221,71.55848919,2437476
Cuba,Cuba,North America,CUB,5317246,69.51797003,7648736
Cyprus,Cyprus,Asia,CYP,692875,79.73758953,868944
Czechia,Czech Republic,Europe,CZE,5502169,79.78588979,6896168
Denmark,Denmark,Europe,DNK,3179505,84.41676194,3766438
Djibouti,Djibouti,Africa,DJI,255564,34.4040106,742832
Dominican Republic,Dominican Republic,North America,DOM,5301571,71.42288816,7422790
Ecuador,Ecuador,South America,ECU,8893065,73.36506331,12121662
"Egypt, Arab Rep.",Egypt,Africa,EGY,33430910,47.47991617,70410634
El Salvador,El Salvador,North America,SLV,2870401,67.70457192,4239597
Equatorial Guinea,Equatorial Guinea,Africa,GNQ,592618,58.81889373,1007530
Eritrea,Eritrea,Africa,ERI,1800336,83.79299175,2148552
Estonia,Estonia,Europe,EST,752419,87.65600663,858377
Eswatini,Swaziland,Africa,SWZ,405086,54.29182968,746127
Ethiopia,Ethiopia,Africa,ETH,61664369,84.69050553,72811431
Fiji,Fiji,Oceania,FJI,390514,63.56415273,614362
Finland,Finland,Europe,FIN,2879817,83.89623125,3432594
France,France,Europe,FRA,31825317,76.58457011,41555782
French Polynesia,French Polynesia,Oceania,PYF,137413,64.82907314,211962
Gabon,Gabon,Africa,GAB,763104,52.18190472,1462392
"Gambia, The",Gambia,Africa,GMB,969074,63.56496808,1524541
Georgia,Georgia,Asia,GEO,1853143,77.08174319,2404127
Germany,Germany,Europe,DEU,44783712,83.79065023,53447147
Ghana,Ghana,Africa,GHA,14887115,73.02257718,20387003
Greece,Greece,Europe,GRC,4645359,70.8806712,6553774
Guam,Guam,Oceania,GUM,80212,74.89099482,107105
Guatemala,Guatemala,North America,GTM,7257874,65.23120766,11126383
Guinea,Guinea,Africa,GIN,4400646,55.89638738,7872863
Guinea-Bissau,Guinea-Bissau,Africa,GNB,726412,58.710397,1237280
Guyana,Guyana,South America,GUY,295000,55.70062895,529617
Haiti,Haiti,North America,HTI,5237767,70.2386773,7457098
Honduras,Honduras,North America,HND,4675950,66.93137957,6986185
"Hong Kong SAR, China",Hong Kong,Asia,HKG,3825407,76.03767967,5030936
Hungary,Hungary,Europe,HUN,5005562,79.23722354,6317185
Iceland,Iceland,Europe,ISL,239195,92.14160519,259595
India,India,Asia,IND,593729164,61.09201346,971860527
Indonesia,Indonesia,Asia,IDN,140931083,74.57373709,188982192
"Iran, Islamic Rep.",Iran,Asia,IRN,29158831,47.51957434,61361726
Iraq,Iraq,Asia,IRQ,11811525,43.78582045,26975685
Ireland,Ireland,Europe,IRL,2766155,80.46699075,3437627
Israel,Israel,Asia,ISR,4553808,77.93594196,5843014
Italy,Italy,Europe,ITA,25668665,68.96456716,37220077
Jamaica,Jamaica,North America,JAM,1559374,75.78628243,2057594
Japan,Japan,Asia,JPN,69349452,95.26446428,72796769
Jordan,Jordan,Asia,JOR,3062800,41.87273439,7314545
Kazakhstan,Kazakhstan,Asia,KAZ,9587167,77.48619506,12372742
Kenya,Kenya,Africa,KEN,25501846,77.30171787,32990012
"Korea, Dem. People's Rep.",North Korea,Asia,PRK,15836683,87.78178575,18040967
"Korea, Rep.",South Korea,Asia,KOR,29610896,81.35146492,36398725
Kuwait,Kuwait,Asia,KWT,2462920,76.77560657,3207946
Kyrgyz Republic,Kyrgyzstan,Asia,KGZ,3068644,70.89906236,4328187
Lao PDR,Laos,Asia,LAO,3173837,63.80692809,4974126
