Year,category,value
1/1/2017,Less than 3 months,155.9
1/4/2017,Less than 3 months,155.3
1/7/2017,Less than 3 months,149.2
1/10/2017,Less than 3 months,147.4
1/1/2018,Less than 3 months,150.6
1/4/2018,Less than 3 months,143.5
1/7/2018,Less than 3 months,171.3
1/10/2018,Less than 3 months,161.1
1/1/2019,Less than 3 months,171.6
1/4/2019,Less than 3 months,172.6
1/7/2019,Less than 3 months,164.1
1/10/2019,Less than 3 months,164.6
1/1/2020,Less than 3 months,159
1/4/2020,Less than 3 months,240.7
1/7/2020,Less than 3 months,294.2
1/10/2020,Less than 3 months,285.8
1/1/2021,Less than 3 months,316.1
1/4/2021,Less than 3 months,385
1/7/2021,Less than 3 months,331.6
1/10/2021,Less than 3 months,353.5
1/1/2022,Less than 3 months,353.4
1/4/2022,Less than 3 months,336.9
1/7/2022,Less than 3 months,321
1/10/2022,Less than 3 months,313.5
1/1/2023,Less than 3 months,312.4
1/4/2023,Less than 3 months,318.1
1/7/2023,Less than 3 months,316.5
1/10/2023,Less than 3 months,311.6
1/1/2017,"3 months to less than 
6 months",96.7
1/4/2017,"3 months to less than 
6 months",109.2
1/7/2017,"3 months to less than 
6 months",112.5
1/10/2017,"3 months to less than 
6 months",111.2
1/1/2018,"3 months to less than 
6 months",113.3
1/4/2018,"3 months to less than 
6 months",119.6
1/7/2018,"3 months to less than 
6 months",92.2
1/10/2018,"3 months to less than 
6 months",93.3
1/1/2019,"3 months to less than 
6 months",95.2
1/4/2019,"3 months to less than 
6 months",123.6
1/7/2019,"3 months to less than 
6 months",119.5
1/10/2019,"3 months to less than 
6 months",109.8
1/1/2020,"3 months to less than 
6 months",94.7
1/4/2020,"3 months to less than 
6 months",149.9
1/7/2020,"3 months to less than 
6 months",152.9
1/10/2020,"3 months to less than 
6 months",193.1
1/1/2021,"3 months to less than 
6 months",165.3
1/4/2021,"3 months to less than 
6 months",143
1/7/2021,"3 months to less than 
6 months",177.8
1/10/2021,"3 months to less than 
6 months",149.8
1/1/2022,"3 months to less than 
6 months",141.3
1/4/2022,"3 months to less than 
6 months",128.9
1/7/2022,"3 months to less than 
6 months",114.7
1/10/2022,"3 months to less than 
6 months",109.3
1/1/2023,"3 months to less than 
6 months",100.4
1/4/2023,"3 months to less than 
6 months",94.9
1/7/2023,"3 months to less than 
6 months",85.8
1/10/2023,"3 months to less than 
6 months",83.4
1/1/2017,"6 months to less than 
1 year",45.9
1/4/2017,"6 months to less than 
1 year",52
1/7/2017,"6 months to less than 
1 year",46.7
1/10/2017,"6 months to less than 
1 year",45.1
1/1/2018,"6 months to less than 
1 year",47.6
1/4/2018,"6 months to less than 
1 year",43.8
1/7/2018,"6 months to less than 
1 year",45.7
1/10/2018,"6 months to less than 
1 year",45.5
1/1/2019,"6 months to less than 
1 year",62.2
1/4/2019,"6 months to less than 
1 year",54.2
1/7/2019,"6 months to less than 
1 year",53.9
1/10/2019,"6 months to less than 
1 year",46.9
1/1/2020,"6 months to less than 
1 year",57.7
1/4/2020,"6 months to less than 
1 year",64.2
1/7/2020,"6 months to less than 
1 year",92
1/10/2020,"6 months to less than 
1 year",88.5
1/1/2021,"6 months to less than 
1 year",89.9
1/4/2021,"6 months to less than 
1 year",71.6
1/7/2021,"6 months to less than 
1 year",90.6
1/10/2021,"6 months to less than 
1 year",62.5
1/1/2022,"6 months to less than 
1 year",58.9
1/4/2022,"6 months to less than 
1 year",65.2
1/7/2022,"6 months to less than 
1 year",61
1/10/2022,"6 months to less than 
1 year",56.7
1/1/2023,"6 months to less than 
1 year",47.6
1/4/2023,"6 months to less than 
1 year",45.7
1/7/2023,"6 months to less than 
1 year",42
1/10/2023,"6 months to less than 
1 year",40.3
1/1/2017,More than 1 year,23.3
1/4/2017,More than 1 year,29.3
1/7/2017,More than 1 year,31.7
1/10/2017,More than 1 year,36.8
1/1/2018,More than 1 year,41.4
1/4/2018,More than 1 year,26.4
1/7/2018,More than 1 year,38.5
1/10/2018,More than 1 year,39.6
1/1/2019,More than 1 year,44.2
1/4/2019,More than 1 year,32.9
1/7/2019,More than 1 year,33.7
1/10/2019,More than 1 year,41.7
1/1/2020,More than 1 year,45.5
1/4/2020,More than 1 year,30.8
1/7/2020,More than 1 year,53.1
1/10/2020,More than 1 year,67
1/1/2021,More than 1 year,68.7
1/4/2021,More than 1 year,63.8
1/7/2021,More than 1 year,58.1
1/10/2021,More than 1 year,45.2
1/1/2022,More than 1 year,39.4
1/4/2022,More than 1 year,36.5
1/7/2022,More than 1 year,37.3
1/10/2022,More than 1 year,35.9
1/1/2023,More than 1 year,35.4
1/4/2023,More than 1 year,34.7
1/7/2023,More than 1 year,24.3
1/10/2023,More than 1 year,25.6
